kmeans_cluster,dbscan_cluster,calculated_RUL_tons,RUL_Class
0,0,62952,Healthy
2,0,62938,Low
0,0,62923,Medium
2,0,62922,Healthy
2,0,62922,Healthy
0,0,62897,Healthy
0,0,62896,Healthy
2,0,62891,Healthy
2,0,62856,Healthy
0,0,62810,Healthy
0,0,62789,Healthy
2,0,62778,Low
0,0,62757,Medium
2,0,62749,Healthy
2,0,62749,Healthy
0,0,62733,Healthy
0,0,62731,Healthy
0,0,62722,Healthy
2,0,62694,Healthy
2,0,62644,Healthy
0,0,62626,Healthy
2,0,62606,Low
2,0,62587,Medium
2,0,62583,Healthy
2,0,62583,Healthy
0,0,62568,Healthy
0,0,62564,Healthy
2,0,62559,Healthy
2,0,62559,Healthy
2,0,62532,Healthy
2,0,62481,Healthy
0,0,62459,Healthy
2,0,62433,Low
2,0,62418,Medium
2,0,62406,Healthy
2,0,62406,Healthy
0,0,62405,Healthy
0,0,62397,Healthy
0,0,62396,Healthy
0,0,62389,Healthy
0,0,62372,Healthy
2,0,62318,Healthy
0,0,62290,Healthy
2,0,62267,Low
2,0,62252,Medium
2,0,62242,Healthy
2,0,62242,Healthy
0,0,62242,Healthy
2,0,62236,Healthy
0,0,62231,Healthy
2,0,62220,Healthy
0,0,62193,Healthy
2,0,62154,Healthy
0,0,62127,Healthy
2,0,62101,Low
2,0,62085,Medium
0,0,62079,Healthy
0,0,62079,Healthy
0,0,62075,Healthy
0,0,62069,Healthy
0,0,62065,Healthy
0,0,62051,Healthy
2,0,62033,Healthy
2,0,61988,Healthy
0,0,61964,Healthy
2,0,61934,Low
2,0,61922,Medium
0,0,61913,Healthy
0,0,61913,Healthy
2,0,61909,Healthy
0,0,61900,Healthy
0,0,61896,Healthy
0,0,61887,Healthy
0,0,61870,Healthy
2,0,61816,Healthy
0,0,61807,Healthy
2,0,61768,Low
2,0,61759,Medium
0,0,61750,Healthy
0,0,61750,Healthy
2,0,61746,Healthy
2,0,61740,Healthy
0,0,61729,Healthy
0,0,61721,Healthy
2,0,61704,Healthy
2,0,61664,Healthy
0,0,61637,Healthy
2,0,61602,Low
0,0,61593,Medium
0,0,61580,Healthy
0,0,61580,Healthy
2,0,61573,Healthy
0,0,61571,Healthy
0,0,61566,Healthy
2,0,61549,Healthy
2,0,61547,Healthy
0,0,61501,Healthy
0,0,61468,Healthy
2,0,61435,Low
0,0,61426,Medium
0,0,61411,Healthy
0,0,61411,Healthy
0,0,61407,Healthy
0,0,61404,Healthy
0,0,61394,Healthy
0,0,61383,Healthy
2,0,61379,Healthy
0,0,61325,Healthy
0,0,61296,Healthy
0,0,61269,Low
2,0,61254,Medium
0,0,61245,Healthy
0,0,61245,Healthy
2,0,61238,Healthy
0,0,61238,Healthy
0,0,61228,Healthy
2,0,61220,Healthy
2,0,61210,Healthy
0,0,61159,Healthy
2,0,61141,Healthy
0,0,61103,Low
2,0,61082,Medium
2,0,61082,Healthy
2,0,61082,Healthy
0,0,61078,Healthy
0,0,61072,Healthy
0,0,61064,Healthy
2,0,61057,Healthy
2,0,61038,Healthy
0,0,60990,Healthy
0,0,60984,Healthy
2,0,60939,Low
0,0,60918,Healthy
0,0,60918,Healthy
2,0,60915,Medium
0,0,60912,Healthy
0,0,60902,Healthy
0,-1,60892,Healthy
2,0,60891,Healthy
2,0,60865,Healthy
0,0,60827,Healthy
0,0,60817,Healthy
2,0,60776,Low
2,0,60752,Healthy
0,0,60752,Healthy
1,1,60752,Healthy
2,0,60749,Medium
2,0,60749,Healthy
0,0,60739,Healthy
0,0,60726,Healthy
2,0,60725,Healthy
0,0,60696,Healthy
2,0,60657,Healthy
0,0,60654,Healthy
2,0,60613,Low
0,0,60588,Healthy
0,0,60586,Healthy
0,0,60586,Healthy
