support,itemsets
0.3882,"frozenset({'swing_frequency, amount/minute_BIN_High', 'cast_in_row_BIN_Low', 'alloy_speed, meter/minute_BIN_Medium'})"
0.3882,"frozenset({'water_consumption, liter/minute_BIN_High', 'cast_in_row_BIN_Low', 'swing_frequency, amount/minute_BIN_High'})"
0.3876,"frozenset({'swing_frequency, amount/minute_BIN_High', 'cast_in_row_BIN_Low', 'water_temperature_delta, Celsius deg._BIN_High'})"
0.3882,"frozenset({'swing_frequency, amount/minute_BIN_High', 'cast_in_row_BIN_Low', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.3882,"frozenset({'swing_frequency, amount/minute_BIN_High', 'cast_in_row_BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.1892,"frozenset({'swing_frequency, amount/minute_BIN_High', 'cast_in_row_BIN_Low', 'num_crystallizer_BIN_Medium'})"
0.1592,"frozenset({'water_consumption, liter/minute_BIN_High', 'cast_in_row_BIN_Low', 'crystallizer_movement, mm_BIN_High'})"
0.1592,"frozenset({'cast_in_row_BIN_Low', 'water_temperature_delta, Celsius deg._BIN_High', 'crystallizer_movement, mm_BIN_High'})"
0.1592,"frozenset({'cast_in_row_BIN_Low', 'crystallizer_movement, mm_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.1592,"frozenset({'cast_in_row_BIN_Low', 'crystallizer_movement, mm_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.3748,"frozenset({'cast_in_row_BIN_Low', 'alloy_speed, meter/minute_BIN_Medium', 'crystallizer_movement, mm_BIN_Low'})"
0.3792,"frozenset({'water_consumption, liter/minute_BIN_High', 'cast_in_row_BIN_Low', 'crystallizer_movement, mm_BIN_Low'})"
0.3612,"frozenset({'cast_in_row_BIN_Low', 'water_temperature_delta, Celsius deg._BIN_High', 'crystallizer_movement, mm_BIN_Low'})"
0.3792,"frozenset({'cast_in_row_BIN_Low', 'temperature_measurement1, Celsius deg._BIN_Low', 'crystallizer_movement, mm_BIN_Low'})"
0.3792,"frozenset({'cast_in_row_BIN_Low', 'crystallizer_movement, mm_BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.1868,"frozenset({'cast_in_row_BIN_Low', 'num_crystallizer_BIN_Medium', 'crystallizer_movement, mm_BIN_Low'})"
0.4912,"frozenset({'water_consumption, liter/minute_BIN_High', 'cast_in_row_BIN_Low', 'alloy_speed, meter/minute_BIN_Medium'})"
0.4772,"frozenset({'cast_in_row_BIN_Low', 'water_temperature_delta, Celsius deg._BIN_High', 'alloy_speed, meter/minute_BIN_Medium'})"
0.4912,"frozenset({'cast_in_row_BIN_Low', 'alloy_speed, meter/minute_BIN_Medium', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.4912,"frozenset({'cast_in_row_BIN_Low', 'alloy_speed, meter/minute_BIN_Medium', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.24,"frozenset({'cast_in_row_BIN_Low', 'num_crystallizer_BIN_Medium', 'alloy_speed, meter/minute_BIN_Medium'})"
0.1716,"frozenset({'cast_in_row_BIN_Low', 'num_stream_BIN_High', 'alloy_speed, meter/minute_BIN_Medium'})"
0.1676,"frozenset({'num_stream_BIN_Low', 'cast_in_row_BIN_Low', 'alloy_speed, meter/minute_BIN_Medium'})"
0.152,"frozenset({'cast_in_row_BIN_Low', 'alloy_speed, meter/minute_BIN_Medium', 'num_stream_BIN_Medium'})"
0.533,"frozenset({'water_consumption, liter/minute_BIN_High', 'cast_in_row_BIN_Low', 'water_temperature_delta, Celsius deg._BIN_High'})"
