PC1,PC2,calculated_RUL_tons,RUL_Class
1.2541742257359279,-2.0966924270387617,72942,Healthy
0.28310835065505746,1.494657803486701,72936,Healthy
0.2714184202499652,1.4838818580742401,72936,Healthy
0.3758949775558168,-0.2725047834851929,72859,Healthy
-0.695867955619038,1.460004088780328,72832,Medium
-4.475370135271287,-1.5081022863180817,72804,Healthy
1.2550051150903792,-2.1071927144522165,72788,Healthy
1.1442177702781038,-1.61193776809363,72775,Healthy
0.3305994158942582,0.27384541472453316,72772,Healthy
0.318876275459606,0.26303885583078684,72772,Healthy
1.0377870091278985,-1.2216018387720784,72693,Healthy
-0.4266030353106086,0.9857154300210574,72676,Medium
1.7399154187960801,-1.4832935339020763,72635,Healthy
-0.45502467971340793,2.142529777361227,72633,Healthy
0.3762405088276776,1.3356728188427611,72615,Healthy
0.49523204474087545,1.4453609222883508,72615,Healthy
1.1585583395958958,-1.4902954466168394,72612,Healthy
0.4246525040412865,0.2422028392979032,72536,Healthy
-0.28096045067557407,1.1199708521981808,72520,Medium
0.7600037932046612,-0.01880442734179641,72476,Healthy
2.602170318594007,-2.611089928499376,72471,Healthy
0.46458303736916834,-0.3554228242331644,72449,Healthy
0.8879412808807249,0.049239296273617054,72443,Healthy
0.8760520902982731,0.038279669973443724,72443,Healthy
0.4360693711503305,0.21325417121279405,72379,Healthy
-0.3931332462388393,0.5831031530645279,72356,Medium
-0.17085573277120059,4.129131560935895,72317,Healthy
-0.2092797369720295,4.093711763088687,72317,Healthy
1.8909200115263267,-2.39431780162978,72309,Healthy
2.627135546104853,-2.9383628161883992,72302,Healthy
0.3490699403707175,-0.38793509408299215,72283,Healthy
0.02352270125017263,0.4385981718808925,72213,Healthy
-0.811171965144937,0.7698165691855025,72184,Medium
-0.2924209859611613,2.6789162736862995,72158,Healthy
-0.3308449901619902,2.643496475839091,72158,Healthy
2.3549582966921894,-2.960022439747371,72146,Healthy
2.2883467818084826,-2.2569146395862534,72135,Healthy
0.5018772929189487,-0.3425106264951704,72123,Healthy
-0.1050490716485826,0.6503362587819792,72046,Healthy
-0.6662766061750006,0.9033831880337043,72011,Medium
0.38917254493557635,1.4176481268154908,71997,Healthy
0.35074854073474754,1.3822283289682826,71997,Healthy
1.6199215059928147,-1.8843560072228063,71980,Healthy
2.3984278258080205,-2.7440919946178046,71963,Healthy
0.22243040305937142,-0.18225355511938923,71956,Healthy
-0.042724538778901436,0.8667961183089804,71886,Healthy
-1.3423614221434823,2.1378946311025255,71848,Medium
0.18680996456823026,1.9165123469254846,71839,Healthy
0.14841917039696137,1.8811231625595615,71839,Healthy
0.3912974084560315,-0.21190743323207506,71814,Healthy
1.893785103411809,-1.917287706876561,71791,Healthy
0.5941824230800622,-0.785803390903461,71790,Healthy
-0.05288136539854339,0.25369559008858095,71714,Healthy
0.7296338089103575,1.8995986373641187,71699,Healthy
0.6912762247686485,1.8642400664794814,71699,Healthy
-1.1974660631735459,2.271461249950727,71685,Medium
0.3912974084560315,-0.21190743323207506,71648,Healthy
0.9570957605306987,-1.2584401847596227,71627,Healthy
2.23011240279346,-2.327304765582725,71621,Healthy
1.5477107396838627,-0.0759053907336085,71547,Healthy
1.5093863655717137,-0.11123334813696054,71547,Healthy
0.278488325130641,-0.3010089002930316,71541,Healthy
-1.2307860977054306,1.6491542973377296,71515,Medium
0.8118231524224979,-0.7754175843651351,71485,Healthy
-4.156199738061089,-1.2840959404824126,71472,Healthy
0.2336771380853571,-0.21147758982527848,71461,Healthy
2.418914286775209,-2.794014899783752,71449,Healthy
0.8050099671648596,0.8651952932300228,71389,Healthy
0.7666855930527106,0.8298673358266707,71389,Healthy
0.33861719750943825,-0.02668833601093341,71378,Healthy
