anomaly_label,anomaly_score,is_anomaly,calculated_RUL_tons,RUL_Class
1,0.15364308327363851,0,70575,Healthy
1,0.13339258194920278,0,70542,Healthy
1,0.10690193717741897,0,70541,Healthy
1,0.10875754409900118,0,70520,Medium
1,0.15740073868561805,0,70500,Healthy
1,0.09548150049636811,0,70473,Healthy
-1,-0.144426274370974,1,70471,Healthy
1,0.044636756704350966,0,70448,Healthy
1,0.15369644093819002,0,70409,Healthy
1,0.15273193913347988,0,70409,Healthy
1,0.1344045489083069,0,70376,Healthy
1,0.1308430694607856,0,70375,Healthy
1,0.11553834034843224,0,70348,Medium
1,0.15740073868561805,0,70336,Healthy
1,0.0942747838478582,0,70309,Healthy
-1,-0.11716241388710325,1,70307,Healthy
1,0.07044009226103043,0,70282,Healthy
1,0.16032498504172044,0,70246,Healthy
1,0.16173532024547405,0,70246,Healthy
1,0.07409598953145186,0,70211,Healthy
1,0.10203919160538155,0,70203,Healthy
1,0.12771999091097935,0,70182,Medium
1,0.16601585690477805,0,70173,Healthy
1,0.10435635904687551,0,70146,Healthy
-1,-0.1248769846522313,1,70146,Healthy
1,0.05135528337466855,0,70116,Healthy
1,0.1597519497884804,0,70083,Healthy
1,0.1607629727189599,0,70083,Healthy
1,0.08489613251863626,0,70045,Healthy
1,0.1268653517458911,0,70037,Healthy
1,0.1375091127264132,0,70015,Medium
1,0.16601585690477805,0,70010,Healthy
1,0.12095423845560355,0,69983,Healthy
-1,-0.12581052148292893,1,69983,Healthy
1,0.015505667884971208,0,69944,Healthy
1,0.16617617948942198,0,69920,Healthy
1,0.1678790561772412,0,69920,Healthy
1,0.11116331211876301,0,69879,Healthy
1,0.1313017769231734,0,69874,Healthy
1,0.11890249710137535,0,69849,Medium
1,0.14026246905404854,0,69838,Healthy
1,0.0997128745147815,0,69817,Healthy
-1,-0.1335986433850157,1,69813,Healthy
1,0.15139282024201212,0,69780,Healthy
1,0.1406332330108237,0,69747,Healthy
1,0.13802664863900715,0,69747,Healthy
1,0.11034328227214107,0,69713,Healthy
1,0.14543325049448325,0,69711,Healthy
1,0.12715689565358362,0,69683,Medium
1,0.14026246905404854,0,69665,Healthy
-1,-0.1280209064375526,1,69655,Healthy
1,0.13167604317853926,0,69644,Healthy
1,0.04089145785241788,0,69623,Healthy
1,0.1533571196840745,0,69578,Healthy
1,0.1553909139954633,0,69578,Healthy
1,0.09081400151707009,0,69545,Healthy
1,0.09231210869682188,0,69543,Healthy
1,0.12203576638932223,0,69522,Medium
1,0.15575177129020928,0,69496,Healthy
1,0.12928152509995666,0,69493,Healthy
-1,-0.13116979827755693,1,69491,Healthy
-1,-0.0036317161640294637,1,69435,Healthy
1,0.11287209230482526,0,69418,Healthy
1,0.11415265979532035,0,69418,Healthy
1,0.08354393480109196,0,69389,Healthy
1,0.08618447359168907,0,69384,Healthy
1,0.1313573706452858,0,69362,Medium
-1,-0.14159084138003064,1,69332,Healthy
1,0.17408293252001789,0,69329,Healthy
1,0.15575177129020928,0,69327,Healthy
1,0.14001285385906476,0,69271,Healthy
1,0.15182628457718167,0,69251,Healthy
1,0.15458182050947983,0,69251,Healthy
1,0.1084117952356421,0,69223,Healthy
1,0.08683956087090877,0,69218,Healthy
1,0.09284911171795174,0,69187,Medium
-1,-0.13400499002513855,1,69170,Healthy
1,0.115551290775039,0,69166,Healthy
1,0.06754152783720935,0,69154,Healthy
1,0.17756335858252675,0,69108,Healthy
1,0.1538657115833369,0,69085,Healthy
1,0.15163940060055875,0,69085,Healthy
1,0.1569828573676662,0,69060,Healthy
1,0.07944944101767476,0,69052,Healthy
1,0.10444059804758676,0,69011,Medium
1,0.115551290775039,0,69006,Healthy
1,0.011040043181726689,0,69006,Healthy
1,0.13447831759165657,0,68988,Healthy
1,0.18232570109052354,0,68942,Healthy
1,0.1446254279887756,0,68916,Healthy
1,0.14647563522370272,0,68916,Healthy
1,0.07413580197280739,0,68889,Healthy
1,0.12836115719718982,0,68888,Healthy
1,0.12287424060991942,0,68848,Medium
-1,-0.03684322930163508,1,68845,Healthy
1,0.15198872490078685,0,68840,Healthy
1,0.08843309655906972,0,68818,Healthy
1,0.17796963126043647,0,68775,Healthy
1,0.14270046030045835,0,68750,Healthy
1,0.14505091735372871,0,68750,Healthy
1,0.08431372015968408,0,68723,Healthy
1,0.12714780066479897,0,68718,Healthy
-1,-0.0310481740484444,1,68689,Healthy
